"all_employees","salary_2017","annual_adjustment","salary_2018","raise"
"Employee 1",41026.7946519889,5954.84313671477,46981.6377887037,TRUE
"Employee 2",41176.5416990966,18.4993690345436,41195.0410681311,TRUE
"Employee 3",47960.7963352464,6342.06111775711,54302.8574530035,TRUE
"Employee 4",47495.5029110424,6902.07434468903,54397.5772557314,TRUE
"Employee 5",49921.1678630672,-2753.96417011507,47167.2036929522,FALSE
"Employee 6",45798.3324094675,2895.17112192698,48693.5035313945,TRUE
"Employee 7",40899.1012396291,9662.2888429556,50561.3900825847,TRUE
"Employee 8",43073.7237283029,-1245.43656012975,41828.2871681731,FALSE
"Employee 9",46800.1937679946,5771.99937892146,52572.1931469161,TRUE
"Employee 10",42177.122165449,-3557.54425399937,38619.5779114496,FALSE
"Employee 11",40808.5161540657,-1907.79787488282,38900.7182791829,FALSE
"Employee 12",47832.9287236556,7295.79924955033,55128.727973206,TRUE
"Employee 13",47171.3371784426,-4665.48223979771,42505.8549386449,FALSE
"Employee 14",45796.1768517271,-2570.75877161697,43225.4180801101,FALSE
"Employee 15",41896.5754588135,-3553.51473088376,38343.0607279297,FALSE
"Employee 16",42216.9908252545,431.521611753851,42648.5124370083,TRUE
"Employee 17",49417.5311550498,-1080.83258499391,48336.6985700559,FALSE
"Employee 18",44803.971319925,-4922.20605839975,39881.7652615253,FALSE
"Employee 19",45537.1260480024,6717.71389897913,52254.8399469815,TRUE
"Employee 20",43034.8766385578,9169.35637127608,52204.2330098338,TRUE
"Employee 21",43555.5231687613,4095.21820838563,47650.7413771469,TRUE
"Employee 22",46023.1923544779,-4854.43410696462,41168.7582475133,FALSE
"Employee 23",44860.8193942346,-2757.85245466977,42102.9669395648,FALSE
"Employee 24",44524.6449462138,-3401.59339597449,41123.0515502393,FALSE
"Employee 25",40941.819678992,7438.51139792241,48380.3310769144,TRUE
"Employee 26",41886.9167705998,5811.70663703233,47698.6234076321,TRUE
"Employee 27",48062.4427180737,4018.3654637076,52080.8081817813,TRUE
"Employee 28",43023.3906046487,5106.17094230838,48129.5615469571,TRUE
"Employee 29",44590.4391538352,-4161.36125801131,40429.0778958239,FALSE
"Employee 30",41724.9060189351,4770.15743497759,46495.0634539127,TRUE
"Employee 31",42454.3896573596,8811.36832176708,51265.7579791266,TRUE
"Employee 32",45819.0571470186,-1652.4241049774,44166.6330420412,FALSE
"Employee 33",41692.0110071078,1356.66807298549,43048.6790800933,TRUE
"Employee 34",42810.8427138068,9813.7560847681,52624.5987985749,TRUE
"Employee 35",47414.1057138331,-3860.45211111195,43553.6536027212,FALSE
"Employee 36",40244.906458538,-4318.7315389514,35926.1749195866,FALSE
"Employee 37",43180.8610376902,7042.2815612983,50223.1425989885,TRUE
"Employee 38",46148.1046280824,4254.89247194491,50402.9971000273,TRUE
"Employee 39",48397.4122093059,6997.05178849399,55394.4639977999,TRUE
"Employee 40",45495.984936133,-3897.39034464583,41598.5945914872,FALSE
"Employee 41",40084.9048513919,7787.74024336599,47872.6450947579,TRUE
"Employee 42",44101.3787616976,9692.17379926704,53793.5525609646,TRUE
"Employee 43",48088.9441794716,5352.11147391237,53441.055653384,TRUE
"Employee 44",43277.7166832238,4796.38305492699,48074.0997381508,TRUE
"Employee 45",46748.2448229566,-3512.00463715941,43236.2401857972,FALSE
"Employee 46",41603.0455799773,9134.93525818922,50737.9808381665,TRUE
"Employee 47",48198.8589279354,2046.56069516204,50245.4196230974,TRUE
"Employee 48",41823.6332060769,2706.45210752264,44530.0853135996,TRUE
"Employee 49",43027.0620877855,3523.26954249293,46550.3316302784,TRUE
"Employee 50",43277.8627076186,203.6860329099,43481.5487405285,TRUE
"Employee 51",45107.4259541929,-1143.53412762284,43963.89182657,FALSE
"Employee 52",40512.2246383689,4187.6701253932,44699.8947637621,TRUE
"Employee 53",48859.5903129317,4236.17848311551,53095.7687960472,TRUE
"Employee 54",41144.2027403973,9677.01088404283,50821.2136244401,TRUE
"Employee 55",47269.9024458416,3269.35702119954,50539.2594670411,TRUE
"Employee 56",48584.5640394837,236.189502757043,48820.7535422407,TRUE
"Employee 57",42820.1505518518,-2783.83293538354,40036.3176164683,FALSE
"Employee 58",47707.252537366,-1070.39645547047,46636.8560818955,FALSE
"Employee 59",49773.0516036972,5591.05784166604,55364.1094453633,TRUE
"Employee 60",46918.8775285147,6926.59853608347,53845.4760645982,TRUE
"Employee 61",40572.5574609824,746.931514004245,41319.4889749866,TRUE
"Employee 62",42087.7689844929,4446.43337279558,46534.2023572885,TRUE
"Employee 63",49425.7726590149,4104.67173089273,53530.4443899076,TRUE
"Employee 64",48095.2545558102,2360.40046787821,50455.6550236885,TRUE
"Employee 65",49203.5979777575,6767.19996728934,55970.7979450468,TRUE
"Employee 66",46162.8464329988,957.86040998064,47120.7068429794,TRUE
"Employee 67",45355.9370804578,3203.34880729206,48559.2858877499,TRUE
"Employee 68",42294.5987456478,8758.57637147419,51053.175117122,TRUE
"Employee 69",43220.6354686059,-2188.40965302661,41032.2258155793,FALSE
"Employee 70",44296.3194684125,-87.1097820345312,44209.209686378,FALSE
"Employee 71",41753.123907838,-3965.04664327949,37788.0772645585,FALSE
"Employee 72",45462.6787011512,2387.91229436174,47850.5909955129,TRUE
"Employee 73",42901.377370581,-4746.78985425271,38154.5875163283,FALSE
"Employee 74",45482.5214063749,1643.19976582192,47125.7211721968,TRUE
"Employee 75",49108.2990122959,9657.8655031044,58766.1645154003,TRUE
"Employee 76",43298.8767093047,-4335.92696790583,38962.9497413989,FALSE
"Employee 77",40401.1505143717,-3731.37065209448,36669.7798622772,FALSE
"Employee 78",40628.6287261173,9446.12118415534,50074.7499102727,TRUE
"Employee 79",40728.8826582953,8231.28351359628,48960.1661718916,TRUE
"Employee 80",44838.6176815256,4251.48111069575,49090.0987922214,TRUE
"Employee 81",49414.9347068742,-44.1750092431903,49370.759697631,FALSE
"Employee 82",44837.3040999286,4094.11589382216,48931.4199937508,TRUE
"Employee 83",49396.1838725954,3758.28403630294,53154.4679088984,TRUE
"Employee 84",47660.210498143,69.4776885211468,47729.6881866641,TRUE
"Employee 85",47279.2439581826,5806.81527964771,53086.0592378303,TRUE
"Employee 86",44188.3349395357,-1070.8362434525,43117.4986960832,FALSE
"Employee 87",48347.743563354,3897.0876543317,52244.8312176857,TRUE
"Employee 88",49241.2349511869,6619.80806617066,55861.0430173576,TRUE
"Employee 89",46953.5942538641,4425.17228075303,51378.7665346172,TRUE
"Employee 90",45850.8640248328,-963.436291785911,44887.4277330469,FALSE
"Employee 91",43025.2413195558,3534.12594762631,46559.3672671821,TRUE
"Employee 92",40540.7855589874,6358.46691555344,46899.2524745408,TRUE
"Employee 93",49565.3546229005,5084.33848037384,54649.6931032743,TRUE
"Employee 94",43891.2665308453,-3911.4500686992,39979.8164621461,FALSE
"Employee 95",44499.3812101893,6895.84548352286,51395.2266937122,TRUE
"Employee 96",40800.5186216906,1265.32158930786,42065.8402109984,TRUE
"Employee 97",47208.8442300446,6208.68619647808,53417.5304265227,TRUE
"Employee 98",45135.0968587212,981.069124536589,46116.1659832578,TRUE
"Employee 99",42397.826698143,5059.89516037516,47457.7218585182,TRUE
"Employee 100",40711.2472108565,2781.39302041382,43492.6402312703,TRUE
